,Sitio,name,website,address,phone,city,Price,Email 1,Email 2,Email 3,Email 4,Email 5
1,Google,Nammbú - Playa Carrillo,http://www.nammbu.com/,"Playa, Guanacaste Province, Puerto Carrillo, 51103, Costa Rica",2696 8080,Puerto Carrillo,"U$S 228,04",info@nammbu.com,,,,
1,Google,Dreamcatcher Hotel (Hotel Atrapasueños). Eco-Hotel Boutique. Great location. Santa Teresa Beach,https://www.simplebooking.it/ibe2/hotel/7295?lang=EN&cur=USD,"Atrapasueños, Dreamcatcher hotel, Provincia de Puntarenas, Puntarenas, 60111, Costa Rica",8370 9777,Puntarenas,"U$S 202,14",info@dreamcatcherhotel.com,,,,
1,Google,Blue Mist Hotel and Beach Club,https://bluemist.cr/,"Puntarenas Province, Cóbano, 60111, Costa Rica",2640 0852,Cóbano,"U$S 590,63",info@bluemist.cr,,,,
1,Google,The Gilded Iguana Surf Hotel,http://www.thegildediguana.com/,"Playa guiones Del mini super las delicias del mundo, mano izquierda, 100 mts al sur a, Provincia de Guanacaste, Nosara, 50206, Costa Rica",2106 5300,Nosara,"U$S 536,97",reservations@thegildediguana.com,,,,
1,Google,Paradise Bay Boutique Hotel,https://hotelparadisebay.com/,"Playa Herradura, frente al cementerio, Provincia de Puntarenas, Herradura, 61101, Costa Rica",4001 3273,Herradura,"U$S 238,66",info@hotelparadisebay.com,,,,
1,Google,Tango Mar Beachfront Boutique Hotel & Villas,http://www.tangomar.com/,"Quizales Beach, Tambor 76773, Provincia de Puntarenas, Paquera, Tango Mar, 60105, Costa Rica",2683 0001,Tango Mar,"U$S 245,98",info@tangomar.com,Info@TangoMar.com,,,
1,Google,Hotel Amavi,https://hotelamavi.com/,"C. Hidalgo, Provincia de Puntarenas, Jacó, 00506, Costa Rica",8472 8116,Jacó,"U$S 215,54",reservations@hotelamavi.com,,,,
1,Google,Trogon Lodge,http://www.trogonlodge.com/,"H5GX+MRX, San José Province, San Gerardo de Dota, Costa Rica",2293 8181,San Gerardo de Dota,"U$S 215,19",info@grupomawamba.com,,,,
1,Google,Pacuare Lodge,http://www.pacuarelodge.com/,"Limón, Costa Rica",(800) 963-1195,Limón,"U$S 1.860,00",info@pacuarelodge.com,,,,
1,Google,Hotel Casa Turire,http://www.hotelcasaturire.com/,"1.5km del Cruce de Atirro, 00011, Provincia de Cartago, Turrialba, Costa Rica",2290 6040,Turrialba,"U$S 200,98",reservaciones@gpr.cr,,,,
1,Google,Pacuare Outdoor Center,http://www.pacuareoutdoorcenter.com/,"Provincia de Cartago, Turrialba, 30501, Costa Rica",8922 4570,Turrialba,"U$S 635,18",info@pacuareoutdoorcenter.com,,,,
1,Google,Hotel Three Sixty,https://hotelthreesixty.com/,"C. Perezoso, Provincia de Puntarenas, Puntarenas, 60501, Costa Rica",(800) 417-6712,Puntarenas,"U$S 464,94",clickassmarketing@gmail.com,reservations@hotelthreesixty.com,,,
1,Google,The Jaguar's Jungle Lodge,http://www.jungladeljaguar.com/,"5 miles south of Drake Bay, next to San Pedrillo, Drake Bay Hiking Trail, Agujitas de Drake, Puntarenas, Costa Rica, Provincia de Puntarenas, Drake, San Pedrillo, Costa Rica",(424) 781-3491,San Pedrillo,"U$S 295,71",info@thejaguarsjungle.com,,,,
1,Google,Vista Celestial Boutique Hotel,https://vistacelestial.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp&utm_content=weblink,"2km Noreste de Catarata de Uvita, de, Provincia de Puntarenas, Uvita, 60504, Costa Rica",(888) 829-7560,Uvita,"U$S 1.051,80",reservations@vistacelestial.com,info@vistacelestial.com,,,
1,Google,Oxygen Jungle Villas,http://www.oxygenjunglevillas.com/,"Puntarenas Province, Uvita, Costa Rica",8322 4773,Uvita,"U$S 215,84",reservations@oxygenjunglevillas.com,,,,
1,Google,Hotel El Castillo,http://www.elcastillocr.com/?utm_source=google-gm&utm_medium=gm-listing&utm_campaign=gm-listing&utm_id=gm-listing,"389W+WQ7, C. Perezoso, Provincia de Puntarenas, Ojochal, 60501, Costa Rica",8542 3232,Ojochal,"U$S 300,00",reservations@elcastillocr.com,reservas@elcastillocr.com,,,
1,Google,La Foresta Hotel,http://www.laforestahotel.com/,"Ruta Nacional Primaria 34, Provincia de Puntarenas, Quepos, Costa Rica",2777 3130,Quepos,"U$S 331,19",concierge@laforestahotel.com,,,,
1,Google,Hôtel Hacienda las Vainillas - Costa Rica,https://www.haciendalasvainillas.com/,"Camino a Mastatal From the intersection in Mastatal village, 3 km North towards Zapaton, San José, Mastatal, Costa Rica",8659 7534,Mastatal,"U$S 289,58",contact@hlv-mastatal.com,,,,
1,Booking,Hotel Vista de Olas,http://vistadeolas.com/,"de Cobano, C. Vista de Olas, Puntarenas Province, Puntarenas, 60111, Costa Rica",+506 2640 0183,Puntarenas,>300.000 ARS,info@vistadeolas.com,,,,
1,Booking,Ballena Rey Hotel,https://www.hotelballenareyuvita.com/,"60504, Provincia de Puntarenas, Uvita, 60504, Costa Rica",+506 8942 8009,Uvita,>300.000 ARS,reyesgilberto1983@gmail.com,,,,
1,Booking,Alta Las Palomas Hotel,http://www.thealtahotel.com/,"Alto de las Palomas Carretera Vieja a Santa Ana, San José, Escazú, 20601, Costa Rica",+506 2282 8882,Escazú,>300.000 ARS,reservations@thealtahotel.com,,,,
1,Booking,Suitree Experience Hotel,http://www.suitree.com/,"10.4918098, Provincia de Guanacaste, Sardinal de Carrillo, Obandito, 50503, Costa Rica",+506 4070 0101,Obandito,>300.000 ARS,info@suitree.com,reservations@suitree.com,,,
1,Booking,Manzanillo Caribbean Resort,http://manzanilloresort.cr/,"Entrada del antiguo Centro Recreativo de Recope, Limón Province, Manzanillo, 70403, Costa Rica",+506 8774 1940,Manzanillo,>300.000 ARS,info@manzanilloresort.cr,,,,
1,Booking,Fiesta Resort All Inclusive Central Pacific - Costa Rica,http://www.fiestaresort.com/,"El Roble, 23, Provincia de Puntarenas, Chacarita, 5400, Costa Rica",+506 800-555-5555,Chacarita,>300.000 ARS,reservaciones@fiestaresort.com,,,,
1,Booking,Terrazas del Caribe Hotel,https://www.terrazasdelcaribe.com/,"Calle Azania, 400 metros Suroeste de la ruta 256, Limón, Puerto Viejo de Talamanca, Costa Rica",+506 2750 0949,Limón,>300.000 ARS,info@terrazasdelcaribe.com,,,,
1,Booking,Cristal Ballena Boutique Hotel & Spa,http://www.cristal-ballena.com/,"7 km al Sur de Uvita, Costa Ballena, Puntarenas, COSTA RICA, Provincia de Puntarenas, Osa, 60504, Costa Rica",+506 2786 5354,Osa,>300.000 ARS,info@cristal-ballena.com,,,,
1,Booking,Rancho Humo Estancia,http://www.ranchohumo.com/,"8M54+86J, Río Tempisque, Nicoya, Nicoya, Costa Rica",+506 2105 5400,Nicoya,>300.000 ARS,reservations@ranchohumo.com,,,,
1,Booking,Sangregado Lodge,http://www.sangregadolodge.com/,"2km Este de la Represa del Embalse Arenal, Alajuela Province, La Fortuna, 21007, Costa Rica",+506 4600 0102,La Fortuna,>300.000 ARS,info@sangregadolodge.com,,,,
1,Booking,Azul Hotel & Retreat,https://azulhotelretreat.com/?utm_source=bing-places&utm_medium=google-listing&utm_campaign=google-listing&utm_id=gm-listing,"3 km South of, Guanacaste Province, Playa Azul, Marbella, 50306, Costa Rica",+506 6023 2985,Playa Azul,>300.000 ARS,reservations@azulhotelretreat.com,reservations@azulhotelretreat.co,,,
1,Booking,Olinca Boutique Hotel,https://hotelolinca.com/,"Calle 221, Limón, Puerto Viejo de Talamanca, Costa Rica",+506 2229 5495,Puerto Viejo de Talamanca,>300.000 ARS,info@olincahotel.com,,,,
1,Booking,Finca Paraiso Mountain Retreat near San Jose Airport,http://www.fincaparaisocostarica.com/,"Calle Amapola, Heredia Province, Santa Bárbara de Heredia, Costa Rica",+506 8387 9494,Santa Bárbara de Heredia,>300.000 ARS,Smilingsun2004@yahoo.com.mx,,,,
1,Booking,Corcovado & Drake Inn,http://www.drakecorcovado.com/,"Provincia de Puntarenas, Osa, Costa Rica",+506 6299 7622,Osa,>300.000 ARS,info@drakecorcovado.com,,,,
1,Booking,Drift Away Lodge,https://driftawaylodgecr.com/,"Playa Lagartillo, Guanacaste Province, Veintisiete de Abril, Costa Rica",+506 8481 8795,Veintisiete de Abril,>300.000 ARS,clientexperience@driftawaylodgecr.com,,,,
1,Booking,Ventura Santa Teresa,http://www.venturacr.com/,"100 Meters Norte Del Cruce Puntarenas Santa Teresa, Costa Rica",+506 8662 9975,Santa Teresa,>300.000 ARS,Info@venturacr.com,,,,
1,Booking,Rinconcito Lodge,http://rinconcitolodge.com/,"918, Provincia de Guanacaste, Bagaces, 50403, Costa Rica",+506 2206 4833,Bagaces,>300.000 ARS,info@rinconcitolodge.com,,,,
1,Booking,Ecolirios Boutique Hotel & Villas,http://www.ecolirios.com/,"Calle La Angostura, Ruta 32, Limón Province, Guacimo, 70601, Costa Rica",+506 8882 0990,Guacimo,>300.000 ARS,reservaciones@ecolirios.com,,,,
1,Booking,Hotel Martino Spa and Resort,http://www.hotelmartino.com/,"In Front of ZooAve, Provincia de Alajuela, La Garita, 20113, Costa Rica",+506 2433 8382,La Garita,>300.000 ARS,info@hotelmartino.com,,,,
1,Booking,Arenal Paraiso Resort Spa & Thermo Mineral Hot Springs,https://www.arenalparaisoresort.com/,"142, Provincia de Alajuela, La Fortuna, Costa Rica",+506 2479 1100,La Fortuna,>300.000 ARS,info@arenalparaiso.com,reservas@arenalparaiso.com,,,
1,Booking,Hotel Delfin Playa Bejuco,https://www.facebook.com/DelfinBeachfront/,"Playa Bejuco Quepos Costa Rica, Costa Rica",+506 4706 6614,Quepos,>300.000 ARS,managerdelfinbeachfront@gmail.com,,,,
1,Booking,"Hotel Gitana Corcovado, y Tour operador",http://www.casagitanacorcovado.com/,"Camino Autónomo Bahía Drake, 2.5 Kilómetros Del Centro Agujitas Caminó Al Progreso, Familia Edith Fernández Jiménez , Casa Color Celeste Marino, Provincia de Puntarenas, Drake, 60504, Costa Rica",+506 8714 6923,Drake,>300.000 ARS,casagitanacorcovado@gmail.com,,,,
1,Booking,Recreo Verde Hot Springs & Spa,http://www.recreoverde.com/,"Alajuela, San Carlos, 2 km Sureste de la Escuela de Masella, Provincia de Alajuela, Venecia, Costa Rica",+506 4070 1611,Venecia,>300.000 ARS,reservas@recreoverde.com,info@recreoverde.com,,,
1,Booking,Cariblue Beach and Jungle Resort,https://cariblue.com/,"Hotel Cariblue, C. Cariblue, Limón, Limon, 70403, Costa Rica",+506 2750 0035,Limón,>300.000 ARS,reservations@cariblue.com,,,,
1,Booking,Barceló San José,https://www.barcelo.com/es-es/barcelo-san-jose/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=7290,"Residencial, Diag. 23A, San José, Robledal, 10107, Costa Rica",+506 2220 2034,Robledal,>300.000 ARS,sanjose.jrec@barcelo.com,sanjose@barcelo.com,sanjose.nocturno@barcelo.com,sanjose.fitness@barcelo.com,
1,Booking,Ávita Lodge,http://www.avitalodge.com/,"Provincia de Alajuela, Cd Quesada, 21001, Costa Rica",+505 40002972,Quesada,>300.000 ARS,info@avitalodge.com,,,,
1,Booking,Hotel Plaza Yara,http://www.hotelplazayara.com/,"618, Provincia de Puntarenas, Quepos, Costa Rica",+506 2777 4846,Quepos,>300.000 ARS,info@HotelPlazaYara.com,,,,
1,Booking,Borinquen Thermal Resort,http://www.borinquenresort.com/,"Parque Nacional Rincón de la Vieja - sector Las Pailas, Provincia de Guanacaste, Liberia, Costa Rica",+506 2690 1900,Liberia,>300.000 ARS,info@hotelborinquen.com,,,,
1,Booking,Hotel Lomas del Volcan,http://www.lomasdelvolcan.com/,"4.5 Km NW of, Alajuela Province, La Fortuna, Costa Rica",+506 2479 9000,La Fortuna,>300.000 ARS,logo@2x.svg,logo-dark@2x.svg,info@lomasdelvolcan.com,,
1,Booking,Lapazul Boutique Hotel,http://www.lapazul.com/,"Hatillo de Aguirre, Piedra Amarilla, Puntarenas Province, Savegre de Aguirre, 60101, Costa Rica",+506 8584 8181,Savegre de Aguirre,>300.000 ARS,info@lapazul.com,,,,
1,Booking,Chachagua Rainforest Hotel & Hot Springs,http://chachaguarainforesthotel.com/,"99QQ+WV La Fortuna, Provincia de Alajuela Alajuela, La Fortuna, 20213, Costa Rica",+506 4000 2026,La Fortuna,>300.000 ARS,reservations@chachaguarainforest.com,mercadeo@chachaguarainforest.com,,,
1,Booking,Aves Hotel Montezuma,http://www.avesmontezuma.com/,"de, Montezuma - Delicias Road Cerca La Vida Dulce, Provincia de Puntarenas, Cobano, 60111, Costa Rica",+1 213-216-4550,Cobano,>300.000 ARS,anapbm@gmail.com,filler@godaddy.com,team@latofonts.com,,
1,Booking,Finca Rosa Blanca Coffee Farm and Inn,https://fincarosablanca.com/,"Calle Rosa Blanca Heredia, Santa Bárbara, Costa Rica",+1 305-395-3042,Santa Bárbara,>300.000 ARS,info@fincarosablanca.com,info@xum.digital,reservations@fincarosablanca.com,,
1,Booking,Hotel Boutique Lagarta Lodge,https://www.lagartalodge.com/,"Provincia de Guanacaste, Nosara, 50206, Costa Rica",+506 4070 1144,Nosara,>300.000 ARS,support@dachcom.ch,,,,
1,Booking,"Wyndham Garden San Jose Escazu, Costa Rica",https://www.wyndhamhotels.com/es-xl/wyndham-garden/san-jose-costa-rica/wyndham-garden-san-jose-escazu/overview?CID=LC:46q62bu8edfbx3y:36611&iata=00093796,"San José - Escazú, Autop. Próspero Fernández, San José, San Rafael, 02388, Costa Rica",+506 4031 9999,San Rafael,>300.000 ARS,accessibility@wyndham.com,,,,
1,Booking,Golden Pineapple Villas-Adults Only,http://www.goldenpineapplevillas.com/,"Cantón, Puntarenas Province, Costa Rica",+506 8704 8957,Puntarenas,>300.000 ARS,weddings@goldenpineapplevillas.com,reservations@goldenpineapplevillas.com,unsubscribe@goldenpineapplevillas.com,reservation@goldenpineapplevillas.com,support@goldenpineapplevillas.com
1,Booking,Miradas Arenal Hotel & Hotsprings,https://miradasarenal.com/,"Ruta 142 del templo católico de la Fortuna, 7 km al oeste, camino al volcán Alajuela San Carlos, Costa Rica",+506 2479 1944,Alajuela,>300.000 ARS,info@miradasarenal.com,,,,
1,Booking,Barceló Tambor - All Inclusive,https://www.barcelo.com/es-cr/barcelo-tambor/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=7359,"Ruta Nacional Secundaria 160 771, Provincia de Puntarenas, Tambor, Playa, 11500, Costa Rica",+506 2683 0303,Tambor,>300.000 ARS,tambor@barcelo.com,,,,
1,Booking,Hotel Nya,http://www.nyahotel.cr/,"Detras de la Iglesia de Montezuma, Hotel Nya, Provincia de Puntarenas, Cobano, 60111, Costa Rica",+506 8609 3999,Cobano,>300.000 ARS,reservations@nyahotel.cr,,,,
1,Booking,Villa Lapas Jungle Village,http://www.villalapas.com/,"Provincia de Puntarenas, Tarcoles, Costa Rica",+506 2549 6477,Tarcoles,>300.000 ARS,reservations@villalapas.com,,,,
1,Booking,Urban Green Hotel & Suites,http://www.urbangreenhotel.com/,"San José, El Carmen, 10101, Costa Rica",+506 4080 6262,El Carmen,>300.000 ARS,info@urbangreenhotel.com,,,,
1,Booking,Serenity Hotel & Villas,https://serenityhotelandvillas.com/,"Provincia de Alajuela, La Fortuna, 21007, Costa Rica",+506 4002 3498,La Fortuna,>300.000 ARS,reservations@serenityhotelandvillas.com,,,,
1,Booking,Monte Carlo Luxury Condominiums,https://www.jacomontecarlo.com/,"9.617240 84.630454, Provincia de Puntarenas, Jacó, 61101, Costa Rica",+506 2643 2917,Jacó,>300.000 ARS,info@jacomontecarlo.com,info@jacomentecarlo.com,,,
1,Booking,Jaco Laguna Resort & Beach Club,https://jacolagunaresort.com/,"Calle Madrigal, Puntarenas Province, Jaco, Costa Rica",+506 6284 2647,Jaco,>300.000 ARS,reservations@jacolagunaresort.com,jacolaguna@gmail.com,,,
1,Booking,Hotel Arenal Springs Resort & Spa,http://www.hotelarenalsprings.com/,"Provincia de Alajuela, La Fortuna, Costa Rica",+506 2479 1212,La Fortuna,>300.000 ARS,info@hotelarenalsprings.com,,,,
1,Booking,Hotel Bosque del Mar Playa Hermosa,https://bosquedelmar.com/,"Provincia de Guanacaste, Playa Hermosa, Costa Rica",+506 2672 0046,Playa Hermosa,>300.000 ARS,mercadeo@hamiltonleisure.com,info@bosquedelmar.com,recuersoshumanos@hamiltonleisure.com,,
1,Booking,Secrets Papagayo All Inclusive - Adults Only,https://www.hyattinclusivecollection.com/en/resorts-hotels/secrets/costa-rica/papagayo-costa-rica/?src=corp_lclb_google_seo_sepcr&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"North West from Panama Beach Main Entrance, Papagayo Golf and Country Club, 10 Km, Guanacaste Province, Papagayo, 50503, Costa Rica",+506 2672 0000,Papagayo,>300.000 ARS,info.sepcr@secretsresorts.com,,,,
1,Booking,Hideaway Rio Celeste Hotel,http://www.riocelestehideaway.com/,"700 meter west of national park Tenorio Alajuela Rio Celeste, 21502, Costa Rica",+506 2206 4000,Alajuela,>300.000 ARS,info@riocelestehideaway.com,,,,
1,Booking,Selva Armonia Immersive Jungle Resort,http://www.selvaarmonia.com/,"Rd on the right, 5km up, Calle la Union, Provincia de Puntarenas, Uvita, 60504, Costa Rica",+506 8618 4114,Uvita,>300.000 ARS,info@selvaarmonia.com,,,,
1,Booking,Jardin del Eden Boutique Hotel,https://www.jardindeleden.com/,"Willams, Provincia de Guanacaste, Tamarindo, 50309, Costa Rica",+506 4070 0303,Tamarindo,>300.000 ARS,reservations@jardindeleden.com,,,,
1,Booking,Marenaz Oceanfront Resort,https://www.marenaz.com/,"100 meters south of Elev8, Provincia de Puntarenas, Esterillos Este, 60901, Costa Rica",+506 8712 7007,Esterillos Este,>300.000 ARS,reservations@marenaz.com,,,,
1,Booking,Oceano Boutique Hotel & Gallery,http://www.oceanojaco.com/,"Jacó, 500 metros este de Pops, Jacó, Puntarenas, Provincia de Puntarenas, Jacó, 61101, Costa Rica",+506 2643 0420,Jacó,>300.000 ARS,info@oceanojaco.com,tourdesk@oceanojaco.com,reservations@oceanojaco.com,TourDesk@oceanojaco.com,
1,Booking,Isla Chiquita Glamping Hotel,http://www.islachiquita.com/,"Isla Jesusita, Provincia de Puntarenas, Puntarenas, 60101, Costa Rica",+506 4000 0520,Puntarenas,>300.000 ARS,reserve@islachiquita.com,,,,
1,Booking,Occidental Papagayo - Adults Only All Inclusive,https://www.barcelo.com/en-us/occidental-papagayo/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=7381,"255 Blvd. Playa Hermosa 800 metros al norte 48-5000 Golfo Guanacaste Province, Guanacaste Province, 50503, Costa Rica",+506 2690 8000,Playa Hermosa,>300.000 ARS,papagayo@occidentalhotels.com,,,,
1,Booking,Exôtico Beach Hotel,https://exoticobeach.com/,"400 mts al fondo a la derecha, calle aguilar ruta, Limón, Manzanillo, 70403, Costa Rica",+506 6411 3165,Manzanillo,>300.000 ARS,info@exotico.test,info@exoticobeach.com,,,
1,Booking,Villas Kalimba,http://www.villaskalimba.com/,"VFJF+MQW, Provincia de Guanacaste, Sámara, Costa Rica",+506 2656 0929,Sámara,>300.000 ARS,info@villaskalimba.com,,,,
1,Booking,The Nomadic Hotel,http://nomadicnosara.com/,"75 Meters West of The Gardens Hotel Guanacaste Nosara, 50206, Costa Rica",+506 2201 7342,Nosara,>300.000 ARS,HOLA@NOMADICNOSARA.COM,,,,
1,Booking,Amapola Resort,https://www.amapolaresort.com/,"J96H+7WC Amapola Costa Rica Jaco beach, Av. Amapola, Provincia de Puntarenas, Jacó, 61101, Costa Rica",+506 4000 0601,Jacó,>300.000 ARS,reservacion@amapolaresort.com,,,,
1,Booking,Fuego del Sol Beachfront Hotel,https://www.hotelfuegodelsol.com/,"400 metros sur del hotel terraza del pacifico, entrada diagonal a la plaza, de fútbol., Provincia de Puntarenas, Playa Hermosa, Costa Rica",,Playa Hermosa,>300.000 ARS,reservations@hotelfuegodelsol.com,marketing@hotelfuegodelsol.com,,,
1,Booking,Villa Blanca Cloud Forest Hotel & Retreat,https://hotelvbcostarica.com/,"Los Ángeles Norte, Ruta a Villa Blanca, Provincia de Alajuela, San Ramón, 20208, Costa Rica",+506 8568 9848,San Ramón,>300.000 ARS,reservations@hotelvbcostarica.com,,,,
1,Booking,Xandari Resort & Spa,https://www.xandari.com/Resort-Spa-costarica-overview.php,"Km Ne Del Salon El Diamante, 1, Provincia de Alajuela, Alajuela, 20101, Costa Rica",+506 2443 2020,Alajuela,>300.000 ARS,reservations@xandari.com,info@xandari.com,,,
1,Booking,Si Como No Resort & Wildlife Refuge,https://sicomono.com/,"Kilometer 4 to National Park, Provincia de Puntarenas, Quepos, Costa Rica",+506 2777 0777,Quepos,>300.000 ARS,reservations@sicomono.com,,,,
1,Booking,Blue Serenity Hotel Nosara,http://blueserenityhotel.com/,"100 metros del sur nosara skatepark, Provincia de Guanacaste, Nosara, Costa Rica",+506 8639 3370,Nosara,>300.000 ARS,Reservations@blueserenityhotel.com,,,,
1,Booking,Nayara Gardens,http://www.nayaragardens.com/,"702 road 21007, Provincia de Alajuela, La Fortuna, Costa Rica",+1 844-865-2002,La Fortuna,>300.000 ARS,reservations@nayararesorts.com,,,,
1,Booking,Hotel Banana Azul - Adults Only,https://www.bananaazul.com/?utm_source=my-business&utm_medium=googlemybusiness&utm_campaign=clickass-direct-booking&utm_id=booking-link-myb,"Playa Negra Limón, Limón, Puerto Viejo de Talamanca, 70401, Costa Rica",+506 2750 2035,Puerto Viejo de Talamanca,>300.000 ARS,info@bananaazul.com,,,,
1,Booking,Hotel Casa Roland San Jose,https://casarolandsanjose.com/,"San José, Santa Catalina, 10107, Costa Rica",+506 2231 6571,Santa Catalina,>300.000 ARS,reservations@casarolandsanjose.com,eventos@casarolandsanjose.com,gerencia@casarolandsanjose.com,,
1,Booking,Vida Mountain Resort & Spa Adults Only,http://vidamountain.com/,"39QW+QWJ, Provincia de Alajuela, San Ramón, Costa Rica",+506 2100 2328,San Ramón,>300.000 ARS,reservations@vidamountain.com,,,,
1,Booking,Ukinca B&B,http://www.ukinca.com/,"Carr. Pacífica Fernández Oreamuno, Provincia de Puntarenas, Uvita, Costa Rica",+506 2743 8061,Uvita,>300.000 ARS,info@ukinca.com,,,,
1,Booking,Nueva Villa Paraíso Four Villas,https://nuevavillaparaiso.com/,"2000 metros norte escuela, Provincia de Puntarenas, Lagunillas, Costa Rica",,Lagunillas,>300.000 ARS,nuevavillaparaiso@gmail.com,,,,
1,Booking,Baldi Hot Springs Hotel & Spa,https://www.baldihotsprings.cr/,"142, Provincia de Alajuela, San Carlos, Costa Rica",+506 2479 2190,San Carlos,>300.000 ARS,info@baldihotsprings.cr,,,,
1,Booking,Lost Iguana Resort and Spa,http://lostiguanacr.com/,"1.5 km northwest from Arenal Dam Alajuela La Fortuna, 21007, Costa Rica",+506 2479 1557,La Fortuna,>300.000 ARS,info@lostiguanacr.com,reservations@lostiguanacr.com,,,
1,Booking,Hotel Heliconias Nature Inn & Hot Springs,https://heliconiasnatureinn.com/,"17 km al sur de centro de La Fortuna, sobre la ruta 702, Provincia de Alajuela, La Fortuna, 20213, Costa Rica",+506 8467 4767,La Fortuna,>300.000 ARS,info@heliconiasnatureinn.com,,,,
1,Booking,Hotel Arenal Kioro Suites & Spa,http://www.hotelarenalkioro.com/,"11 KM NW FROM LA FORTUNA DOWNTOWN, Alajuela Province, La Fortuna, 21007, Costa Rica",+506 2479 1700,La Fortuna,>300.000 ARS,info@hotelarenalkioro.com,,,,
1,Booking,Umami Hotel - Adults Only,http://www.umamihotel.com/,"C. 219, Limón, Puerto Viejo de Talamanca, 70401, Costa Rica",+506 2750 3200,Puerto Viejo de Talamanca,>300.000 ARS,reservations@umamihotel.com,,,,
1,Booking,Hotel Pasatiempo,https://hotelpasatiempo.com/,"350 Av Central, Provincia de Guanacaste, Tamarindo, Costa Rica",+506 2653 0096,Tamarindo,>300.000 ARS,reservas@hotelpasatiempo.com,,,,
1,Booking,Chira Glamping Monteverde,http://www.chiraglamping.com/,"Cerro Plano Sapo Dorado road, Puntarenas Province, Monteverde, 60109, Costa Rica",+506 8456 1022,Monteverde,>300.000 ARS,info@chiraglamping.com,chirahotel@gmail.com,,,
1,Booking,Kunken Boutique Hotel & Spa,https://www.kunkenboutiquehotel.com/,"PGCC+PG Bahia Chal, Provincia de Puntarenas, Puntarenas, Costa Rica",+506 8995 1457,Puntarenas,>300.000 ARS,hello@kunkenlodge.com,,,,
1,Booking,Cafe Playa Negra Hotel,http://www.cafeplayanegra.com/,"Main Street, Provincia de Guanacaste, Los Pargos, 50303, Costa Rica",+506 6084 5053,Los Pargos,>300.000 ARS,reservas@cafeplayanegra.com,,,,
1,Booking,Hotel Bugabutik,http://www.bugabutik.com/,"300 m Este 350 m Sur de la Cancha de Futbol de Cocles, Puerto Viejo de Talamanca, 60111, Costa Rica",+506 2750 2012,Puerto Viejo de Talamanca,>300.000 ARS,info@bugabutik.com,,,,
